Time,Memory Limit,Memory (VM view),Memory (Host view),Swap used (Host view),CT,BW (Download),BW (Upload)
1707910671.1489518,299999232,1900712,246976512,2021822464,148.79,57857074,2479466
1707910700.4873948,299999232,1901820,246931456,2021560320,146.159,55272908,2461717
1707910729.2706032,299999232,1902800,246648832,2021298176,143.315,52910575,2320533
1707910762.6527889,299999232,1903256,247234560,2021298176,166.291,58129432,2389950
1707910796.5780463,999997440,1901996,247353344,2021298176,168.984,59975183,2533909
1707910830.6689725,999997440,1903724,246943744,2021298176,169.804,72080182,2755405
1707910864.3417437,999997440,1903688,246362112,2021298176,167.747,71198871,2719132
1707910895.3289135,999997440,1903344,245805056,2021036032,153.847,59524899,2510141
1707910928.4782612,999997440,1903408,246001664,2021036032,165.043,61108981,2588125
1707910959.1498525,999997440,1903944,246648832,2021036032,152.641,59508912,2524687
1707910988.4141676,999997440,1903604,245747712,2021036032,145.694,46574132,2064146
1707911017.1259778,999997440,1903888,245309440,2021036032,142.873,48740047,2139546
1707911046.5824692,999997440,1903572,245587968,2021036032,146.676,55819422,2404894
1707911076.183643,999997440,1903548,245637120,2021036032,147.381,57042895,2486413
1707911106.8913198,999997440,1903436,246120448,2021036032,152.906,49924614,2187736
